file,k,dist,tight,seed,opt,method,eps,cost,ratio,evaluated,pruned,ms_min,ms_mean,feasible
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,brute,0.000000,97.243934,1.000000,40320,0,0.387400,0.430619,1
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,dp,0.000000,97.243934,1.000000,607,0,0.013406,0.018208,1
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,dp_par,0.000000,97.243934,1.000000,607,0,0.027381,0.030123,1
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,dp_prune,0.000000,97.243934,1.000000,21,68,0.011261,0.027271,1
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,approx,0.000000,97.243934,1.000000,21,68,0.016000,0.018212,1
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,approx,0.020000,97.243934,1.000000,21,68,0.015850,0.015924,1
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,approx,0.050000,97.243934,1.000000,21,68,0.015810,0.015878,1
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,approx,0.100000,97.243934,1.000000,21,68,0.015840,0.016338,1
instances/k08_uniform_tight_s0.txt,8,uniform,tight,0,97.2439,approx,0.200000,97.243934,1.000000,21,68,0.015809,0.015874,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,brute,0.000000,79.837378,1.000000,40320,0,0.335643,0.443003,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,dp,0.000000,79.837378,1.000000,580,0,0.012413,0.017537,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,dp_par,0.000000,79.837378,1.000000,580,0,0.029695,0.033008,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,dp_prune,0.000000,79.837378,1.000000,18,32,0.011742,0.013912,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,approx,0.000000,79.837378,1.000000,18,32,0.014848,0.016976,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,approx,0.020000,79.837378,1.000000,17,33,0.014317,0.015085,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,approx,0.050000,79.837378,1.000000,17,33,0.014467,0.014508,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,approx,0.100000,79.837378,1.000000,17,33,0.014457,0.014477,1
instances/k08_uniform_tight_s1.txt,8,uniform,tight,1,79.8374,approx,0.200000,79.837378,1.000000,12,34,0.014327,0.014455,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,brute,0.000000,109.973280,1.000000,40320,0,0.339640,0.381477,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,dp,0.000000,109.973280,1.000000,556,0,0.018975,0.023450,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,dp_par,0.000000,109.973280,1.000000,556,0,0.024937,0.028710,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,dp_prune,0.000000,109.973280,1.000000,9,34,0.009308,0.010852,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,approx,0.000000,109.973280,1.000000,9,34,0.010550,0.012303,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,approx,0.020000,109.973280,1.000000,9,34,0.010109,0.022100,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,approx,0.050000,109.973280,1.000000,9,34,0.010189,0.010873,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,approx,0.100000,109.973280,1.000000,9,34,0.010159,0.013507,1
instances/k08_uniform_tight_s2.txt,8,uniform,tight,2,109.9733,approx,0.200000,109.973280,1.000000,7,35,0.010129,0.010177,1
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,brute,0.000000,69.510580,1.000000,40320,0,0.333318,0.386034,1
