
AMDuProfPcm Report

Processor Name:,AMD Ryzen 7 7735H with Radeon Graphics
System:,Family(0x19) Model(0x44) Stepping(0x1)
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,8
Number of Threads :,16
SMT Enabled in HW:,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15

Core P0 state frequency (MHz):,3200.000000
Multiplex interval (ms):,100
Sample interval (ms):,1000
Data Collection Driver:,MSR Driver
Version:,5.2.431.0 (Public)

Hypervisor Info:
Hypervisor Enabled:,True
Hypervisor Supported:,True
Hypervisor Vendor:,Microsoft Hyper-V
Root/Host Partition:,1
Command:,"AMDuProfPcm -m cache_miss,l2 -s -o cache_result.csv -- .\BX_lab01_1.exe"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
pto    : Per Thousand Operations

Warnings:
L1 cache misses does not count the misses for which cache lines have already been requested due to an earlier miss.

Profile Time: 2026/03/31 11:15:32:025
,CORE METRICS,,,,,,,,,,,,,,,,
,System (Aggregated),,,,,,,,,,,,,,,,
Timestamp,L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L1 DC Miss (pti),L2 Data Read Miss (pti),L1 IC Miss (pti),L2 Code Read Miss (pti),
00:02:21:649,159.25,130.13,38.02,13.86,94.83,66.11,18.96,9.76,64.13,44.04,15.88,4.11,33.10,30.47,132.26,55.56,
00:02:22:699,183.39,111.51,39.88,15.53,86.91,57.10,18.68,11.14,75.64,46.87,24.63,4.39,37.71,27.72,146.01,60.59,
00:02:23:740,170.10,137.85,39.38,13.04,106.44,77.08,20.00,9.36,70.29,39.28,27.09,3.69,34.22,25.85,151.07,65.12,
00:02:24:800,139.96,95.99,39.28,11.76,73.14,49.49,15.47,8.18,78.77,54.68,20.37,3.58,27.48,26.39,87.38,32.72,
00:02:25:844,182.50,103.12,39.10,13.56,76.84,51.16,15.91,9.77,73.42,52.16,17.03,3.79,29.69,25.90,100.46,46.33,
00:02:26:948,144.64,91.89,36.41,14.00,69.37,44.37,15.32,9.67,75.32,50.37,20.39,4.32,37.04,27.61,113.39,50.50,
00:02:28:007,134.33,101.99,33.30,16.65,75.25,47.94,15.32,11.99,52.52,33.24,14.22,4.67,40.95,25.18,103.24,48.15,
00:02:29:028,141.81,94.41,34.08,13.05,74.50,50.40,14.75,9.35,68.06,47.10,17.40,3.70,49.41,29.28,123.24,63.17,
00:02:30:090,161.54,93.72,32.93,13.13,69.85,45.45,15.15,9.25,62.78,40.41,18.50,3.88,23.32,19.79,40.25,16.64,
00:02:31:157,185.54,105.10,34.62,17.24,84.43,56.06,16.42,11.94,74.48,50.63,17.18,5.30,41.22,22.66,169.27,84.46,
00:02:32:242,149.92,92.52,32.65,13.57,66.70,43.20,14.42,9.08,72.62,44.14,24.17,4.49,37.88,27.96,129.45,57.19,
00:02:33:303,150.04,88.10,40.61,13.50,72.74,47.44,16.08,9.22,83.06,56.79,21.77,4.29,23.83,24.71,96.87,43.16,
00:02:34:362,150.73,97.67,44.98,12.46,71.54,47.31,15.69,8.55,75.21,53.52,18.25,3.90,22.50,23.35,40.89,16.52,
00:02:35:446,162.54,66.70,31.08,19.71,49.63,25.03,10.45,14.15,81.06,56.54,18.24,5.56,34.94,16.03,117.17,50.08,
00:02:36:531,168.90,114.98,34.89,13.02,78.59,53.35,16.52,8.73,73.78,48.64,19.24,4.28,38.96,31.29,110.50,48.49,
00:02:37:614,140.37,92.98,29.57,12.06,67.68,45.71,13.75,8.21,69.75,49.41,15.76,3.84,29.44,28.57,74.56,31.64,
00:02:38:652,196.12,139.70,37.02,14.13,106.39,77.28,18.78,10.33,78.87,57.12,16.06,3.81,36.31,24.80,119.78,54.70,
00:02:39:699,122.23,98.11,31.70,10.51,69.22,48.23,13.54,7.45,80.06,60.82,16.58,3.06,30.84,25.13,111.39,42.49,
00:02:40:766,182.92,117.06,41.41,14.64,84.87,56.71,17.89,10.27,79.04,49.76,25.24,4.37,28.33,34.18,119.55,63.39,
00:02:41:848,155.32,97.30,33.56,12.45,64.31,41.02,14.84,8.45,71.00,46.73,20.28,3.99,20.17,23.40,60.53,22.82,
00:02:42:894,156.45,97.81,40.86,12.95,77.55,53.22,15.36,8.97,94.03,68.50,20.23,3.97,44.10,22.87,152.71,72.37,
00:02:43:922,123.26,89.41,40.48,9.75,66.60,44.19,15.72,6.68,72.31,53.54,15.86,3.07,29.08,22.99,97.69,36.99,
00:02:44:961,177.22,129.62,38.74,24.07,100.50,65.66,17.70,17.13,80.82,59.08,15.29,6.94,32.92,25.25,141.75,62.97,
00:02:46:000,163.10,87.98,27.59,22.44,70.50,42.02,11.89,16.58,76.26,51.82,17.47,5.86,36.79,27.69,169.21,81.00,
00:02:47:050,145.98,141.25,39.49,19.82,114.68,79.77,20.46,14.45,87.52,62.70,17.89,5.37,39.40,19.55,103.73,44.95,
00:02:48:091,158.82,142.96,35.95,11.72,109.33,80.84,20.14,8.35,68.51,50.63,14.81,3.38,44.73,29.37,129.54,58.84,
00:02:49:137,171.79,126.29,41.88,13.41,105.84,73.66,22.70,9.47,68.26,48.41,16.03,3.94,44.32,22.97,126.59,55.07,
00:02:50:179,202.39,119.48,35.46,14.90,92.48,63.94,17.76,10.78,78.37,53.79,18.91,4.12,39.54,24.89,189.95,84.74,
00:02:51:209,201.79,96.15,30.03,16.74,72.81,48.14,12.50,12.17,78.57,57.79,15.77,4.58,38.51,24.18,173.25,85.33,
00:02:52:236,159.70,11.06,19.76,11.93,21.33,7.44,5.36,8.52,77.38,52.59,19.69,3.40,34.57,32.06,116.78,52.50,
00:02:53:261,154.13,80.46,22.39,12.39,67.56,47.28,11.18,9.10,75.64,44.55,27.96,3.29,34.91,26.47,158.49,81.47,
00:02:54:297,141.77,121.27,41.33,13.77,93.56,65.91,18.07,9.58,73.45,44.12,25.08,4.19,34.61,20.82,132.51,56.88,
00:02:55:342,207.81,138.38,38.13,15.66,108.39,77.36,19.44,11.59,68.06,40.47,23.96,4.07,36.31,25.12,172.99,81.09,
00:02:56:385,190.95,97.30,42.34,13.42,83.02,57.48,15.73,9.82,83.46,65.86,15.77,3.61,39.37,19.73,200.28,89.17,
00:02:57:421,147.15,82.67,39.75,9.55,67.88,46.14,14.82,6.92,53.24,32.76,17.72,2.63,37.35,29.78,165.96,81.10,
00:02:58:464,180.57,97.91,42.44,13.92,81.89,56.46,15.42,10.01,76.13,55.16,16.41,3.90,32.65,33.34,133.40,54.18,
00:02:59:504,155.06,136.53,32.64,24.66,116.95,80.54,18.40,18.01,81.32,54.42,18.70,6.65,23.04,24.52,81.76,35.24,
00:03:00:545,158.18,128.08,36.47,22.73,105.96,70.66,18.50,16.80,82.57,61.59,15.42,5.93,32.08,27.38,120.79,49.86,
00:03:01:579,122.00,120.55,33.98,14.79,94.15,66.88,17.61,9.65,49.41,32.78,11.11,5.14,24.36,33.10,99.12,47.51,
00:03:02:621,166.28,49.07,17.10,14.67,41.35,24.55,6.39,10.41,62.55,45.10,12.48,4.26,43.80,29.12,113.17,46.61,
00:03:03:662,133.57,80.25,30.47,9.47,55.13,36.72,11.59,6.82,79.62,60.85,15.25,2.65,44.78,28.01,126.77,55.14,
00:03:04:694,209.62,110.39,34.49,15.15,84.38,58.10,15.16,11.12,78.24,57.81,15.92,4.02,44.63,31.60,132.96,59.85,
00:03:05:737,130.11,152.14,41.26,10.83,117.02,88.32,21.16,7.55,53.64,35.38,16.52,3.28,36.36,33.08,192.83,84.45,
00:03:06:779,106.71,55.14,16.50,8.75,44.34,30.07,7.85,6.42,56.94,40.16,12.76,2.33,35.88,33.99,176.53,76.76,
00:03:07:823,185.61,117.71,36.57,14.57,91.08,62.56,18.08,10.44,66.14,38.55,23.23,4.13,35.54,17.24,142.59,62.64,
00:03:08:852,219.56,84.00,22.49,15.60,71.39,48.57,11.37,11.45,72.89,43.02,25.98,4.15,35.58,33.42,150.76,64.07,
00:03:09:894,205.80,160.07,37.33,15.24,124.57,93.49,19.89,11.19,72.63,42.92,25.46,4.05,32.59,32.00,143.35,59.82,
00:03:10:940,159.58,78.55,34.58,11.27,65.33,44.72,12.24,8.36,77.02,57.96,15.41,2.90,38.28,29.99,160.08,76.82,
00:03:11:974,214.03,94.23,41.57,16.09,74.16,47.70,14.57,11.88,73.62,50.91,18.05,4.21,26.69,30.59,87.12,38.21,
00:03:13:011,199.62,99.26,41.80,20.68,88.38,57.31,15.69,15.38,76.31,53.19,16.22,5.31,32.10,23.98,144.85,58.77,
00:03:14:056,165.44,119.93,33.74,22.10,95.09,62.15,16.76,16.18,92.07,67.32,17.96,5.92,26.28,26.06,100.86,48.92,
00:03:15:094,177.64,152.31,36.96,23.32,128.03,90.39,19.79,17.85,69.92,47.82,16.10,5.47,48.22,25.24,164.20,75.18,
00:03:16:127,135.51,149.74,38.68,18.54,119.40,85.76,20.23,13.41,77.40,54.47,16.45,5.13,32.16,32.25,88.93,40.15,
00:03:17:166,157.73,117.64,35.67,13.64,90.21,62.75,17.64,9.82,75.59,53.95,15.87,3.81,44.71,26.99,132.32,59.98,
00:03:18:206,138.76,97.95,31.28,9.62,69.35,48.37,14.17,6.81,65.02,46.05,15.14,2.81,41.61,29.63,123.11,56.00,
00:03:19:245,127.35,134.94,31.72,14.22,105.36,78.44,17.62,9.30,79.64,54.81,19.22,4.92,37.00,24.68,175.22,78.99,
00:03:20:284,140.42,124.43,34.36,12.20,93.31,67.35,17.75,8.21,63.79,47.12,13.05,3.99,34.43,32.69,139.80,60.79,
00:03:21:331,197.91,109.45,32.26,14.12,82.28,57.10,14.87,10.30,54.31,29.09,21.47,3.82,33.77,33.57,172.78,87.98,
00:03:22:360,226.30,99.59,31.58,18.42,80.69,53.21,13.91,13.56,62.73,36.84,20.94,4.85,29.25,25.27,105.10,46.32,
00:03:23:395,77.40,82.88,25.02,6.84,60.55,44.37,11.27,4.92,71.63,43.55,26.49,1.92,27.59,14.32,17.19,7.89,
00:03:24:432,171.81,156.48,39.50,13.22,122.21,91.66,20.91,9.64,81.46,52.44,25.06,3.58,35.99,26.63,136.48,54.89,
00:03:25:468,158.50,86.52,40.60,10.80,72.00,49.73,14.62,7.66,77.84,57.11,17.03,3.14,35.71,17.10,141.99,58.09,
00:03:26:505,188.48,93.69,44.01,13.98,79.45,54.18,15.17,10.11,76.21,53.84,17.65,3.88,36.79,13.65,129.32,54.38,
00:03:27:540,180.27,34.91,22.12,12.85,32.56,16.45,6.63,9.49,64.15,43.09,17.64,3.37,36.48,32.05,89.28,35.35,
00:03:28:578,140.30,107.82,33.23,20.11,86.29,56.91,15.26,14.13,82.33,59.53,15.98,5.98,34.13,24.95,138.19,58.38,
00:03:29:611,166.60,141.29,40.05,19.99,108.70,75.01,19.67,14.02,90.68,63.78,19.72,5.98,33.50,34.07,115.27,49.91,
00:03:30:650,157.94,111.97,34.51,22.48,92.38,60.16,15.85,16.37,74.51,51.25,16.72,6.12,40.52,31.63,212.35,94.01,
00:03:31:689,201.15,146.59,42.82,14.16,118.00,86.12,21.67,10.21,71.97,49.31,17.70,3.95,26.38,26.70,71.61,30.49,
00:03:32:757,158.83,113.18,29.98,11.04,89.39,66.22,15.17,8.00,70.68,47.50,19.47,3.04,28.79,25.14,69.57,32.32,
00:03:33:801,199.46,136.93,37.00,13.93,108.66,79.04,19.41,10.21,72.01,49.77,18.16,3.72,41.85,19.59,125.96,59.31,
00:03:34:832,153.78,89.90,44.21,13.61,79.13,50.00,19.15,9.97,65.15,42.29,18.99,3.63,38.56,28.65,132.29,63.03,
00:03:35:867,130.18,134.77,33.97,9.68,102.78,77.16,18.52,7.11,87.64,65.60,18.70,2.58,40.18,32.35,184.17,87.66,
00:03:36:913,207.41,148.83,38.93,15.38,121.11,88.52,21.38,11.21,59.05,32.48,21.88,4.18,37.79,25.14,178.99,85.62,
00:03:37:954,191.35,110.36,33.17,13.35,82.24,58.33,14.36,9.55,65.73,36.48,25.04,3.80,36.72,30.51,130.95,58.54,
00:03:38:993,206.18,91.52,29.18,15.54,73.96,49.55,12.92,11.49,80.90,48.28,28.01,4.05,40.00,28.19,171.44,77.14,
00:03:40:030,202.78,92.01,46.78,15.33,78.13,51.44,15.53,11.15,82.27,59.33,17.35,4.18,36.97,29.45,180.95,81.97,
00:03:41:071,144.66,111.97,46.35,9.98,88.44,64.94,16.42,7.08,75.62,55.93,14.99,2.90,36.08,18.12,148.47,60.55,
00:03:42:113,199.08,92.15,46.07,15.24,77.57,50.78,15.57,11.22,83.27,60.85,17.66,4.02,29.17,28.56,143.24,66.33,
00:03:43:146,144.58,75.57,32.67,19.06,72.70,42.53,16.40,13.76,83.11,56.19,20.38,5.30,34.27,28.21,149.96,63.90,
00:03:44:184,169.21,125.28,36.28,25.14,106.79,71.63,16.83,18.32,82.34,61.69,16.03,6.81,24.35,31.67,92.09,37.81,
00:03:45:222,152.60,103.28,38.41,22.23,90.84,57.05,17.81,15.97,78.88,57.09,15.13,6.26,46.15,29.89,129.20,57.36,
00:03:46:257,157.44,135.73,36.01,12.72,105.90,77.71,19.21,8.98,82.85,64.40,16.80,3.74,46.85,23.31,124.02,61.29,
00:03:47:300,197.69,102.65,34.58,14.45,78.84,53.05,15.44,10.35,68.24,45.67,17.03,4.10,40.08,24.14,114.30,52.11,
00:03:48:343,174.99,131.38,36.28,13.61,101.32,72.62,18.59,10.11,57.51,41.55,12.13,3.50,39.58,32.75,191.36,85.17,
00:03:49:382,167.79,149.57,40.70,12.93,114.60,84.02,21.11,9.47,76.63,53.12,18.75,3.46,38.67,28.31,161.62,71.73,
00:03:50:421,179.48,112.62,32.20,14.57,82.95,57.13,15.42,10.39,48.22,32.03,11.18,4.18,40.37,25.77,207.66,90.36,
00:03:51:465,163.68,121.68,31.60,12.03,91.15,66.39,16.10,8.66,74.58,45.08,25.48,3.37,35.09,25.71,179.98,79.76,
00:03:52:507,163.80,117.87,30.39,12.47,92.02,66.97,16.11,8.94,70.84,43.14,23.38,3.52,35.90,22.68,182.34,78.03,
00:03:53:545,133.10,98.39,45.81,11.31,79.46,56.28,15.24,7.93,88.30,66.10,17.78,3.37,35.11,24.17,154.32,67.85,
00:03:54:595,146.88,102.02,40.38,10.27,76.80,54.46,14.91,7.44,79.43,61.45,15.39,2.83,32.43,28.55,156.59,67.96,
00:03:55:643,175.09,94.29,42.50,12.43,77.97,53.28,15.81,8.88,70.82,52.66,13.95,3.55,36.79,28.83,170.50,72.04,
00:03:56:679,164.32,156.35,39.90,23.84,128.21,90.81,20.65,16.74,77.17,49.51,20.35,7.11,31.68,21.83,155.68,67.45,
00:03:57:728,155.81,149.56,39.86,22.76,121.14,85.06,19.77,16.31,66.33,42.89,15.01,6.45,36.95,24.85,162.20,73.59,
00:03:58:765,142.92,98.13,26.09,19.49,69.40,44.52,10.29,14.59,81.85,58.07,16.51,4.91,29.17,20.90,127.96,52.63,
00:03:59:802,169.17,134.04,35.67,12.96,103.20,75.09,18.74,9.38,72.47,53.71,14.19,3.58,38.39,32.25,102.99,39.85,
00:04:00:848,195.00,134.98,33.86,16.72,107.16,77.25,18.45,11.46,75.75,54.44,15.73,5.26,38.76,32.04,107.41,46.97,
00:04:01:888,209.05,136.80,36.57,13.67,100.63,72.51,18.30,9.82,88.90,64.41,17.27,3.85,42.84,27.11,120.76,52.69,
00:04:02:926,148.97,128.77,36.22,10.98,93.15,68.12,17.16,7.87,65.82,45.81,16.00,3.11,41.06,32.60,193.58,93.09,
00:04:03:958,164.45,106.99,34.92,16.57,87.01,58.31,17.26,11.44,77.66,50.91,20.47,5.14,32.19,31.23,129.04,52.78,
00:04:04:998,172.06,89.09,23.16,12.68,72.07,50.68,12.00,9.39,88.27,63.78,20.17,3.29,36.35,33.02,162.06,74.54,
00:04:06:033,157.70,139.12,35.92,10.01,103.56,77.44,18.90,7.22,69.70,41.74,24.51,2.80,40.80,29.58,138.86,64.69,
00:04:07:072,156.06,156.94,39.92,12.87,118.56,88.71,20.50,9.35,73.64,41.70,26.52,3.52,36.84,25.32,174.79,80.59,
00:04:08:103,171.57,89.54,33.02,13.69,72.82,48.68,14.38,9.76,67.54,38.09,24.72,3.93,30.69,19.92,80.68,25.37,
00:04:09:142,155.73,90.22,39.76,11.29,74.61,52.09,14.50,8.02,86.65,64.64,17.71,3.27,37.52,29.08,197.58,90.87,
00:04:10:186,192.08,100.74,41.94,13.81,83.36,57.69,15.67,10.01,74.96,52.12,18.05,3.80,31.21,19.39,170.36,75.23,
00:04:11:228,163.57,93.97,44.04,14.66,81.17,54.30,16.41,10.46,87.58,64.92,16.96,4.20,34.43,26.15,142.74,54.48,
00:04:12:268,170.48,155.28,36.13,23.20,124.03,88.15,19.06,16.82,57.70,37.75,13.93,6.38,43.20,24.90,194.11,84.98,
00:04:13:304,159.12,108.74,37.10,20.62,92.28,59.96,17.09,15.23,73.73,50.98,18.06,5.39,31.21,32.87,131.83,64.06,
00:04:14:340,147.46,147.60,43.17,19.92,121.65,84.82,21.65,15.18,81.68,61.80,14.62,4.74,45.85,23.00,123.27,58.47,
00:04:15:375,159.15,116.04,34.00,12.37,89.88,64.44,16.47,8.97,69.46,51.60,14.71,3.40,45.32,32.81,115.82,52.45,
00:04:16:409,195.31,154.95,36.68,13.43,121.13,91.46,20.04,9.63,85.58,60.80,20.88,3.80,45.18,13.63,125.68,57.30,
00:04:17:439,151.65,121.66,37.26,11.72,92.77,66.70,17.88,8.19,74.06,51.97,19.41,3.53,35.72,31.00,125.12,54.57,
00:04:18:477,212.20,87.26,25.14,16.09,69.38,46.41,11.39,11.58,84.78,58.94,17.83,4.51,37.22,32.48,151.40,64.05,
00:04:19:513,203.37,63.33,26.70,14.53,46.30,25.96,9.70,10.64,69.53,50.71,14.52,3.88,41.83,19.79,193.65,90.44,
00:04:20:553,134.03,105.82,34.49,9.66,76.13,54.42,14.79,6.93,62.25,37.70,21.27,2.73,24.52,10.99,47.75,21.29,
00:04:21:588,84.75,119.41,36.66,8.17,90.98,68.28,17.46,5.24,69.32,41.25,24.69,2.94,24.52,21.45,100.77,40.99,
00:04:22:629,168.16,115.73,35.37,13.82,87.05,59.90,17.28,9.87,71.73,43.58,24.03,3.95,33.93,25.10,142.61,71.59,
00:04:23:665,184.56,102.03,45.06,13.37,85.79,59.70,16.41,9.67,76.03,51.45,20.09,3.69,35.17,23.73,160.26,69.09,
00:04:24:699,166.33,88.58,42.44,14.34,76.36,50.36,15.81,10.19,68.30,45.34,18.48,4.15,38.29,28.68,157.98,73.07,
00:04:25:737,206.37,99.45,46.40,15.59,85.89,57.51,16.92,11.45,68.28,46.04,19.20,4.13,35.69,18.09,172.50,83.52,
00:04:26:778,69.82,102.39,39.75,10.52,84.42,61.28,15.46,7.68,64.54,46.00,15.15,2.84,34.33,29.81,99.37,42.06,
00:04:27:816,159.78,39.92,23.60,22.68,42.60,17.65,8.48,16.47,60.75,37.17,17.39,6.21,21.01,20.14,80.08,34.95,
00:04:28:851,161.82,129.47,39.82,21.14,107.32,71.95,19.71,15.66,81.14,56.83,17.47,5.48,39.71,24.66,167.97,79.54,
00:04:29:894,178.34,144.77,37.78,12.75,113.71,84.65,19.90,9.16,69.79,51.35,14.49,3.59,41.55,32.67,108.38,52.26,
00:04:30:932,194.27,111.45,33.58,14.78,82.41,56.42,15.61,10.38,70.48,48.93,17.34,4.41,45.59,11.06,126.92,60.79,
00:04:31:972,202.39,154.70,42.61,14.56,114.86,84.11,20.15,10.60,83.83,64.02,16.08,3.96,38.07,36.34,101.58,45.00,
00:04:33:014,140.36,154.15,38.16,10.62,121.20,92.54,21.02,7.64,81.16,63.78,14.97,2.98,33.79,27.27,183.81,78.83,
00:04:34:061,149.32,147.77,36.44,10.84,109.63,82.76,19.01,7.87,80.23,54.31,22.95,2.98,33.70,34.57,172.47,85.67,
00:04:35:095,154.79,110.12,34.37,11.04,80.37,57.19,15.13,8.06,66.87,38.85,24.70,2.98,38.10,29.60,169.33,81.56,
00:04:36:133,176.11,147.92,48.53,13.57,110.86,81.64,19.46,9.76,72.75,42.49,25.04,3.80,31.92,29.13,140.64,65.49,
00:04:37:171,125.96,163.24,41.93,9.99,123.60,94.87,21.46,7.27,68.62,41.89,23.71,2.72,31.27,28.05,161.60,70.11,
00:04:38:206,191.84,125.81,39.10,14.89,101.04,71.31,18.87,10.86,64.46,36.66,22.81,4.04,38.26,22.17,207.24,88.79,
00:04:39:240,191.81,96.64,43.32,12.80,81.06,54.82,16.83,9.40,81.58,60.53,17.21,3.40,38.49,24.23,177.30,83.82,
00:04:40:281,139.35,86.99,39.27,12.13,69.84,47.25,13.88,8.71,70.90,52.60,14.60,3.42,34.38,30.09,149.74,57.47,
00:04:41:320,169.04,81.85,35.56,14.00,68.06,44.56,13.23,10.27,74.08,53.55,16.17,3.73,38.41,29.92,159.39,66.23,
00:04:42:358,154.93,96.51,31.10,23.23,77.49,47.69,13.17,16.63,82.12,55.53,19.66,6.60,35.42,29.53,152.99,67.76,
00:04:43:396,165.93,112.33,29.51,24.33,98.10,64.47,15.76,17.87,84.68,60.44,16.64,6.45,40.72,30.77,174.13,78.46,
00:04:44:433,123.01,133.21,36.70,16.36,108.46,78.02,18.30,12.14,78.02,57.83,15.33,4.22,39.69,26.30,103.11,43.64,
00:04:45:465,191.78,158.24,41.86,14.12,126.12,93.63,22.15,10.35,31.49,20.08,6.80,3.78,47.47,33.19,102.26,50.03,
00:04:46:506,143.80,157.38,38.91,9.96,121.96,93.12,21.63,7.21,74.69,55.60,16.02,2.75,39.56,32.04,131.50,54.53,
00:04:47:539,134.39,116.91,33.15,9.85,89.34,64.84,17.40,7.10,68.34,47.70,17.21,2.75,34.10,30.71,174.45,74.03,
00:04:48:582,200.89,144.41,37.01,14.84,112.25,82.14,19.43,10.68,93.80,70.24,19.54,4.16,39.15,25.51,182.84,83.82,
00:04:49:626,204.79,105.81,35.76,14.07,78.96,53.40,15.40,10.16,87.49,62.93,19.41,3.91,33.52,24.94,164.72,73.45,
00:04:50:668,164.12,118.55,36.22,13.69,88.12,62.22,16.35,9.55,74.62,43.23,26.27,4.13,35.66,29.57,181.65,78.29,
00:04:51:716,167.03,85.34,24.10,13.71,72.33,50.29,11.96,10.09,67.51,39.86,23.76,3.62,40.02,21.43,185.96,81.88,
00:04:52:752,179.36,100.92,48.33,13.01,78.14,52.70,15.87,9.57,83.06,61.21,17.62,3.44,34.50,28.76,179.47,78.03,
00:04:53:793,168.91,79.74,36.77,12.10,65.41,42.42,14.05,8.95,58.44,42.00,12.68,3.15,37.43,29.54,193.01,85.72,
00:04:54:833,186.87,92.37,39.74,12.86,74.91,50.92,14.61,9.38,76.43,55.73,15.06,3.48,30.40,26.09,130.57,57.88,
00:04:55:867,151.25,151.37,37.14,21.96,127.61,90.81,20.99,15.81,84.23,55.80,21.37,6.15,37.42,16.57,189.19,95.61,
00:04:56:906,164.34,137.61,36.60,23.83,116.97,79.54,20.06,17.37,87.18,61.47,17.94,6.46,41.48,14.01,76.46,38.97,
00:04:57:937,140.55,46.30,29.11,18.63,47.61,22.62,11.92,13.07,52.54,33.11,13.79,5.56,41.76,28.80,187.75,102.29,
00:04:58:963,90.74,136.66,37.17,7.75,94.15,72.02,17.13,5.00,73.33,53.23,16.72,2.75,46.08,20.33,135.91,74.86,
00:05:00:003,162.48,121.92,36.16,14.56,99.14,70.75,18.07,10.32,80.87,60.05,15.07,4.24,35.08,31.97,89.67,38.97,
00:05:01:040,188.48,149.64,38.29,14.39,115.16,85.04,19.85,10.27,81.54,60.24,15.73,4.13,41.36,30.12,127.10,58.73,
00:05:02:072,150.11,109.39,35.34,11.85,89.51,62.17,18.71,8.63,79.65,60.89,14.59,3.23,38.34,28.60,122.38,56.96,
00:05:03:103,229.41,104.05,30.98,16.21,86.34,59.31,15.03,12.00,74.02,55.17,13.93,4.21,34.75,34.44,165.39,76.04,
00:05:04:136,182.88,125.01,34.90,14.56,95.32,67.09,17.70,10.53,75.59,53.98,16.30,4.03,36.64,33.21,188.80,84.13,
00:05:05:171,169.23,100.22,32.05,13.28,74.88,51.13,14.12,9.62,75.81,57.59,14.10,3.66,40.79,28.39,116.59,54.78,
00:05:06:197,162.82,19.24,16.90,12.00,24.62,10.63,5.28,8.70,65.80,33.99,28.07,3.29,40.00,32.43,186.09,92.09,
00:05:07:235,199.37,124.81,33.09,15.26,99.93,70.48,18.23,11.23,60.06,33.79,21.65,4.03,34.09,18.72,148.08,63.83,
00:05:08:271,163.83,112.57,33.28,12.82,88.44,61.97,17.41,9.06,67.98,40.71,22.76,3.76,28.51,25.75,111.80,45.33,
00:05:09:322,199.40,76.12,34.66,14.06,65.35,43.14,11.99,10.22,70.45,48.52,18.02,3.84,36.54,33.58,164.83,75.20,
00:05:10:381,224.07,109.62,42.17,18.61,93.63,64.31,15.84,13.49,71.02,47.98,16.04,5.12,40.86,23.51,191.13,108.66,
00:05:11:443,174.36,166.94,39.68,29.19,140.93,98.62,21.79,20.53,100.50,70.02,19.04,8.67,33.23,30.97,141.42,64.81,
00:05:12:479,154.73,134.24,37.49,22.35,114.33,78.20,19.97,16.16,82.81,58.99,16.31,6.19,42.19,30.75,158.41,80.57,
00:05:13:521,156.46,124.81,34.01,21.19,99.61,67.80,16.49,15.31,82.40,59.49,16.47,5.88,45.45,30.85,119.39,54.22,
00:05:14:558,205.69,127.90,36.01,14.74,98.70,70.60,17.16,10.94,87.82,65.42,17.47,3.81,40.86,24.48,120.91,53.21,
00:05:15:598,190.88,114.62,43.83,13.85,98.80,65.56,23.16,10.09,88.79,66.98,16.28,3.76,34.24,33.44,148.63,59.42,
00:05:16:635,205.23,123.10,40.15,14.05,93.52,65.42,17.74,10.36,91.54,65.14,22.18,3.69,31.09,26.66,66.08,22.56,
00:05:17:675,162.80,126.76,39.77,14.28,99.58,70.13,19.12,10.33,68.62,46.24,18.25,3.95,34.54,29.78,144.32,65.38,
00:05:18:715,163.59,136.78,37.52,11.93,107.00,78.57,19.81,8.62,75.15,55.13,15.61,3.32,34.10,32.49,184.11,76.67,
00:05:19:755,160.70,94.79,29.10,11.95,73.13,51.64,12.98,8.51,74.60,45.72,25.04,3.44,33.46,30.03,158.62,70.41,
00:05:20:790,183.02,126.29,32.61,13.42,98.22,71.77,16.81,9.65,72.27,41.33,26.07,3.78,36.86,31.08,163.70,76.98,
00:05:21:832,187.66,160.31,41.20,13.73,127.31,95.15,22.33,9.83,64.85,38.88,22.80,3.90,40.17,27.52,191.20,86.57,
00:05:22:871,170.08,77.31,36.68,11.94,62.46,41.86,11.91,8.69,72.58,54.34,13.86,3.25,38.76,26.14,203.84,83.75,
00:05:23:915,189.17,98.79,43.72,13.21,85.87,59.78,16.37,9.72,84.96,62.42,18.36,3.49,47.07,21.82,181.10,84.70,
00:05:24:956,154.05,147.87,37.80,21.09,120.13,84.30,20.49,15.34,79.55,54.51,18.46,5.75,34.77,30.82,202.44,91.07,
00:05:25:993,162.79,132.65,35.20,26.25,113.12,75.60,18.25,19.28,89.85,63.03,17.84,6.98,41.09,29.27,184.17,86.83,
00:05:27:025,148.36,154.75,37.42,17.82,126.79,93.24,20.50,13.05,66.83,42.03,19.75,4.77,30.49,17.00,79.56,31.84,
00:05:28:060,182.51,107.61,33.97,17.67,85.12,57.22,15.41,12.48,99.27,70.65,21.52,5.19,47.38,24.27,121.13,58.95,
